uuid;IDX;Rosetta
DB9A8BD8-3832-4035-A15E-AB37B2826902;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/DB9A8BD8-3832-4035-A15E-AB37B2826902/overview];Scotland—Presbyterian & Protestant Church Records, 1736-1990
78AA8450-D9FA-413B-9759-64D76EF5B131;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/78AA8450-D9FA-413B-9759-64D76EF5B131/overview];Colombia, Valle del Cauca, Santiago de Cali—Parish Records, 1628–2005 \[Part D\]
5BA0A82A-51E8-4B80-B4D9-E9DFAB6C4930;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/5BA0A82A-51E8-4B80-B4D9-E9DFAB6C4930/overview];UK, England, Warwickshire---Parish Registers, 1538--1960 \[Part 4\]
F320AAD8-BB10-4BA1-A298-A33597662F73;[US, Idaho, Nez Perce County—Brower Wann Funeral Home Records, 1925–1986|https://www.familysearch.org/indexing/admin-new/#/projects/F320AAD8-BB10-4BA1-A298-A33597662F73/overview];US, Idaho, Nez Perce County—Brower Wann Funeral Home Records, 1925–1986.
DC545E16-25EF-45FB-9B9D-3E26E9782F07;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/DC545E16-25EF-45FB-9B9D-3E26E9782F07/overview];US, Idaho—Obituaries, 1880–2013 \[Part 2\]
5B85C4BC-E8BB-48AD-AC70-B17B088706ED;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/5B85C4BC-E8BB-48AD-AC70-B17B088706ED/overview];Canada—1906 Census
46850322-B292-4B14-806A-D54E7287C32E;[UK—War Office Registers, Enlistment Rolls 1772–1935 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/46850322-B292-4B14-806A-D54E7287C32E/overview];UK—War Office Registers, Enlistment Rolls 1772–1935 \[Part B\].
6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE;[Sverige, Örebro—Kyrkoböcker, 1800–1860 \[Del 10C\]|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/overview];Sverige, Örebro—Kyrkoböcker, 1800–1860 \[Del 10C\].
7A20808C-B204-41C6-A3A4-AFE0FF8E0956;[Perú, Lima—Registros Civiles, Nacimientos, 1917–1995 \[Parte 1W\]|https://www.familysearch.org/indexing/admin-new/#/projects/7A20808C-B204-41C6-A3A4-AFE0FF8E0956/overview];Perú, Lima—Registros Civiles, Nacimientos, 1917–1995 \[Parte 1W\].
FF3751DF-FEEF-45F0-961B-F6E975F874E2;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/FF3751DF-FEEF-45F0-961B-F6E975F874E2/overview];US, New York—County Naturalization Records, 1792–1976 \[Part D\]
34355703-F053-4104-B202-030D71C959FD;[South Africa, Cape Province—Death Notices, 1834–1989 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/34355703-F053-4104-B202-030D71C959FD/overview];South Africa, Cape Province—Death Notices, 1834–1989 \[Part C\].
A8D2B572-7CC9-4696-8A89-31D6BD58C94E;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/A8D2B572-7CC9-4696-8A89-31D6BD58C94E/overview];US, Pennsylvania—World War II Draft Registrations, 1940–1945 \[Part N\]
61FFF8CF-7C39-4EC9-B00A-4D38D956E879;[UK, England, Cambridgeshire—Parish Registers, 1754–1950|https://www.familysearch.org/indexing/admin-new/#/projects/61FFF8CF-7C39-4EC9-B00A-4D38D956E879/overview];UK, England, Cambridgeshire—Parish Registers, 1754–1950.
C885D968-BBC6-4B5E-976A-6004B1D18359;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/C885D968-BBC6-4B5E-976A-6004B1D18359/overview];Peru, Puno—Registros Civiles, Nacimientos, 1926–2016 \[Part M\]
045CDC46-BA8D-4C77-8FC9-DA137ED9AB14;[Peru, La Libertad—Civil Registration, 1903–1997 \[Part AF\]|https://www.familysearch.org/indexing/admin-new/#/projects/045CDC46-BA8D-4C77-8FC9-DA137ED9AB14/overview];Peru, La Libertad—Civil Registration, 1903–1997 \[Part AF\].
B65890E5-23BE-4DE0-B63E-A0D4993C8EF7;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/B65890E5-23BE-4DE0-B63E-A0D4993C8EF7/overview];England—Warwickshire Parish Registers, part 4, 1538–1960
8F5C3845-04AE-4E86-B067-F0B35C03D816;[Nicaragua—Civil Registration, 1809–2013 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/8F5C3845-04AE-4E86-B067-F0B35C03D816/overview];Nicaragua—Civil Registration, 1809–2013 \[Part B\].
