;Date Time Fetched;Traveler ID;Project UUID;Project Id;Short Name;Items to inspect;Inspection Notes;Imageset Count;Batch Count;Audit Batch Count;Image Count;Record Count;State;Export States;Export State Diffs
11;2020-09-04 15:10:23;20-0806;1390FBE8-0680-4C7D-AD7F-01A4BB50797F;4518;Ecuador, Guayaquil—Cemetery Records, 1862–2019 \[Part F\];{color:red}{color};{color:red}{color};3;407;20;915;0;TEST;\\IN_PROGRESS: 387\\NA_AUDIT: 20\\NA_BLOCKED: 155;
12;2020-09-04 12:02:31;11-1347;D9288BFB-2B9D-4272-82A8-5270450DC32E;3830;Germany, Baden, Lahr—Church Book Duplicates, 1804–1870 \[Part D\];{color:red}{color};{color:red}{color};34;14267;679;16199;0;TEST;\\IN_PROGRESS: 13588\\NA_AUDIT: 679\\NA_BLOCKED: 2611;
13;2020-08-12 10:26:20;17-1549;8D0A35FC-20D3-4CF6-BD2B-77D9326AF3ED;4452;Haiti—Civil Registry of Deaths, 1824–2013 \[Part J\];{color:red}{color};{color:red}{color};118;14;0;9479;0;TEST;\\IN_PROGRESS: 27\\NA_BLOCKED: 3;
14;2020-09-04 12:49:36;16-1088;48A85B1B-A220-4326-828C-6062690901F0;4061;Iceland—Church Census, 1744–1977 \[Part C\];{color:red}{color};{color:red}{color};100;12476;583;12476;0;TEST;\\IN_PROGRESS: 11893\\NA_AUDIT: 583\\NA_BLOCKED: 583;
15;2020-09-04 14:23:54;19-1106;A772ACF8-2072-4C8F-88A3-8CE29D19FB0D;4512;Italy (Antenati Italiani), Latina—Civil Registration, 1899–1946 \[Part A\];{color:red}misAssignedDGS count: 6\\{color};{color:red}[A772ACF8-2072-4C8F-88A3-8CE29D19FB0D]{color};199;228;11;16746;0;TEST;\\IN_PROGRESS: 432\\NA_AUDIT: 22\\NA_BLOCKED: 72;\\IN_PROGRESS: 432\\NA_AUDIT: 22\\NA_BLOCKED: 72
16;2020-09-04 12:39:38;16-0410;7E3BA376-6632-4D59-918A-C2199F72839D;4500;Italy (Italian Ancestors), Asti—Civil Registration, 1911–1926 \[Part G\];{color:red}misAssignedDGS count: 10\\{color};{color:red}[7E3BA376-6632-4D59-918A-C2199F72839D]{color};202;15;0;7974;0;TEST;\\IN_PROGRESS: 53\\NA_BLOCKED: 63;\\IN_PROGRESS: 29\\NA_BLOCKED: 47
17;2020-09-04 14:23:17;19-1098;6BB4788F-84B2-4679-9FD0-5DA224BACB9F;4501;Italy (Italian Ancestors), Biella—Civil Registration, 1866–1943 \[Part A\];{color:red}{color};{color:red}{color};164;183;8;17183;0;TEST;\\IN_PROGRESS: 689\\NA_AUDIT: 32\\NA_BLOCKED: 29;\\IN_PROGRESS: 117\\NA_AUDIT: 8\\NA_BLOCKED: 9
18;2020-09-04 15:03:10;20-0655;B1462F92-8A6C-41EF-9CCB-A50EF6F43263;4272;Italy (Italian Ancestors), Reggio Calabria—Civil Registration, 1808–1912 \[Part A\];{color:red}{color};{color:red}{color};200;3340;157;567968;0;TEST;\\IN_PROGRESS: 6364\\NA_AUDIT: 314\\NA_BLOCKED: 1702;
19;2020-08-27 11:59:34;13-1070;CB9F0314-03FC-4367-B37C-B9E6D0D647F7;2716;Magyarország, Budapest—Polgári anyakönyvek, I–XIII. kerület, 1895–1973 \[Rész G\];{color:red}{color};{color:red}{color};130;49820;2368;107274;577;TEST;ACCEPTED: 129\\IN_PROGRESS: 94694\\NA_AUDIT: 4730\\NA_BLOCKED: 2293\\NA_DUPLICATE: 6;
20;2020-09-04 14:59:19;20-0625;2EFC4BC5-BB6D-45A9-9EAB-CCD846791B71;4536;Paraguay, DIGERRMOV—Military Enlistment Cards, 1870–1965 \[Part B\];{color:red}{color};{color:red}{color};200;437;20;452268;0;TEST;\\IN_PROGRESS: 1517\\NA_AUDIT: 74\\NA_BLOCKED: 1517;
21;2020-09-04 15:02:21;20-0633;AE63D8E1-5445-418E-AD96-09BBF4F18B21;4516;Peru, Piura—Civil Registration, 1874–1996 \[Part N\];{color:red}{color};{color:red}{color};301;8931;422;138343;0;TEST;\\IN_PROGRESS: 33918\\NA_AUDIT: 1683\\NA_BLOCKED: 4853;\\IN_PROGRESS: 33296\\NA_AUDIT: 1651\\NA_BLOCKED: 4821
22;2020-09-04 15:02:31;20-0633;DF692FF7-2B1D-47C9-AC41-B0CCB5099B30;4535;Peru, Piura—Civil Registration, 1874–1996 \[Part O\];{color:red}{color};{color:red}{color};300;936;43;131494;0;TEST;\\IN_PROGRESS: 3561\\NA_AUDIT: 172\\NA_BLOCKED: 79;
23;2020-09-04 13:17:01;17-1359;C07D7E0E-C496-4FDD-A51F-CD35280F779F;4459;Portugal, Aveiro— Passport Registers, 1861–1965 \[Part C\];{color:red}{color};{color:red}{color};14;418;20;5646;0;TEST;\\IN_PROGRESS: 398\\NA_AUDIT: 20\\NA_BLOCKED: 4;
24;2020-09-04 15:08:08;20-0775;34492535-43D9-4C8B-8BFD-7D862F8C57C2;4387;Puerto Rico—Slave Registers, 1863–1879 \[Part A\];{color:red}{color};{color:red}{color};7;798;38;18487;0;TEST;\\IN_PROGRESS: 1520\\NA_AUDIT: 76\\NA_BLOCKED: 1497;
25;2020-09-04 15:08:19;20-0775;A568B7CC-14D4-44A8-AB4A-7A4CAFD99D37;4388;Puerto Rico—Slave Registers, 1863–1879 \[Part B\];{color:red}{color};{color:red}{color};4;2806;134;9732;0;TEST;\\IN_PROGRESS: 5335\\NA_AUDIT: 267\\NA_BLOCKED: 3557;
26;2020-09-04 15:08:29;20-0775;51B89761-FA61-4183-AD95-8EA15220D695;4389;Puerto Rico—Slave Registers, 1863–1879 \[Part C\];{color:red}{color};{color:red}{color};1;1896;90;2794;0;TEST;\\IN_PROGRESS: 1806\\NA_AUDIT: 90\\NA_BLOCKED: 988;
27;2020-09-04 14:37:31;19-1505;68E643DD-B8A6-4ED2-ABF2-942E447B68C7;4526;South Africa, KwaZulu Natal—Vital Records, 1868-1976 \[Part C\];{color:red}{color};{color:red}{color};300;4273;204;353018;0;TEST;\\IN_PROGRESS: 24349\\NA_AUDIT: 1224\\NA_BLOCKED: 1008;
28;2020-09-04 15:02:58;20-0653;E55FC310-1E98-405D-BF7C-8CABB2486D2A;4435;Tuvalu—Vital Records, 1866–1979;{color:red}{color};{color:red}{color};8;3536;166;4106;0;TEST;\\IN_PROGRESS: 3370\\NA_AUDIT: 166\\NA_BLOCKED: 736;
29;2020-09-04 14:38:15;19-1525;570F2E10-059F-4FCF-9074-6CA0AE4AFE58;4519;UK, England, Herefordshire—Bishop's Transcripts, 1583–1754 \[Part C\];{color:red}misAssignedDGS count: 1\\{color};{color:red}[570F2E10-059F-4FCF-9074-6CA0AE4AFE58]{color};2;2016;97;1958;0;TEST;\\IN_PROGRESS: 1919\\NA_AUDIT: 97\\NA_BLOCKED: 39;
30;2020-08-27 13:15:28;18-0086;E24A456F-0945-48A7-9491-70F75D4082EB;4458;UK, Wales—National Library of Wales Marriage Bonds, 1564–1900 \[Part H\];{color:red}{color};{color:red}{color};2;172;8;998;0;TEST;\\IN_PROGRESS: 975\\NA_AUDIT: 48\\NA_BLOCKED: 23;
31;2020-09-04 14:53:37;20-0529;1B7F8A5E-7723-4E7A-BC40-C18F35511CA8;4507;US, Arizona, Gila County—Voting Records, 1881–1920 \[Part B\] TEST;{color:red}{color};{color:red}{color};6;3900;183;4723;0;TEST;\\IN_PROGRESS: 3719\\NA_AUDIT: 183\\NA_BLOCKED: 1004;
32;2020-09-04 14:53:56;20-0534;E64DDE6D-EF11-447E-BE96-FFBF2DE844F5;4522;US, Arizona, Navajo County—Voting Records, 1895–1932 \[Part B\] TEST;{color:red}{color};{color:red}{color};2;489;23;2831;0;TEST;\\IN_PROGRESS: 1862\\NA_AUDIT: 92\\NA_BLOCKED: 969;
33;2020-09-04 12:33:57;15-1478;120B45B7-7675-4F8E-BBCC-DAFDF9B526B9;4024;US, Hawaii, Honolulu—Japanese Consulate, Japanese Family Registration Cards, 1897–1955 \[Part B\] Test;{color:red}{color};{color:red}{color};1;3779;180;4346;0;TEST;\\IN_PROGRESS: 3747\\NA_AUDIT: 188\\NA_BLOCKED: 599;
34;2020-09-04 14:01:52;19-0198;81984F1F-9DC0-49C8-B3E2-918F39A43CCF;4513;US, Indiana—County Marriages, 1811–2007 \[Part O\];{color:red}misAssignedDGS count: 2\\{color};{color:red}[81984F1F-9DC0-49C8-B3E2-918F39A43CCF]{color};2;642;31;1548;0;TEST;\\IN_PROGRESS: 1381\\NA_AUDIT: 68\\NA_BLOCKED: 167;\\IN_PROGRESS: 817\\NA_AUDIT: 41\\NA_BLOCKED: 87
35;2020-09-04 15:17:31;20-0901;DDB6F25A-4532-4DE4-BD47-893D57FDC935;4453;US, Maine, County Naturalization Records, 1834–1990;{color:red}{color};{color:red}{color};123;12197;577;225696;0;TEST;\\IN_PROGRESS: 34841\\NA_AUDIT: 1731\\NA_BLOCKED: 8828;\\IN_PROGRESS: 34514\\NA_AUDIT: 1716\\NA_BLOCKED: 8789
36;2020-09-04 12:07:36;13-0154;EABBBD54-FE67-4B75-A9ED-4878E4AE7649;4523;US, Missouri, Lafayette—Marriage Records, 1806–1965 TEST;{color:red}{color};{color:red}{color};23;9202;434;52425;0;TEST;\\IN_PROGRESS: 30709\\NA_AUDIT: 1520\\NA_BLOCKED: 20470;\\IN_PROGRESS: 21015\\NA_AUDIT: 1039\\NA_BLOCKED: 15661
37;2020-09-04 12:06:01;12-0847;E8FCC4DC-48B6-4C5B-96BB-3A23F52AE865;4509;US, Missouri—County Marriages, 1806–1969 \[Part R\] TEST;{color:red}{color};{color:red}{color};1;649;31;671;0;TEST;\\IN_PROGRESS: 618\\NA_AUDIT: 31\\NA_BLOCKED: 53;
38;2020-09-04 12:41:55;16-0473;AABE0657-9B49-4428-9441-E9AF29AE7A3F;4505;US, New Jersey—Naturalization Records, 1796–1991 \[Part Q\];{color:red}{color};{color:red}{color};28;1965;88;9431;0;TEST;\\IN_PROGRESS: 9328\\NA_AUDIT: 437\\NA_BLOCKED: 103;\\IN_PROGRESS: 1095\\NA_AUDIT: 45
39;2020-09-04 13:28:54;18-0457;40DB0E45-5140-40AA-8F82-32B8E0C43B54;4511;US, New York, Adirondacks—Index to Land Records, Grantees, 1630-1975 \[Part A\] Test;{color:red}{color};{color:red}{color};59;26141;1246;30061;0;TEST;\\IN_PROGRESS: 24895\\NA_AUDIT: 1246\\NA_BLOCKED: 5166;\\IN_PROGRESS: 15240\\NA_AUDIT: 762\\NA_BLOCKED: 2791
40;2020-09-04 13:30:43;18-0457;6A910AF9-AB78-4AC7-9D4E-9962388CD843;4510;US, New York, Monroe—Index to Land Records, Grantors, 1630–1975 \[Part A\] Test;{color:red}{color};{color:red}{color};39;48703;2320;48754;0;TEST;\\IN_PROGRESS: 46383\\NA_AUDIT: 2320\\NA_BLOCKED: 2371;\\IN_PROGRESS: 27550\\NA_AUDIT: 1379\\NA_BLOCKED: 1367
41;2020-09-04 14:55:47;20-0563;54F27A87-5F2F-413A-813E-9ED8BC3CD9C4;4480;US, Texas, Various Counties—Military Discharge Records, 1916–1990 \[Part B\] TEST;{color:red}{color};{color:red}{color};21;2366;113;24124;0;TEST;\\IN_PROGRESS: 11174\\NA_AUDIT: 559\\NA_BLOCKED: 12950;
42;2020-09-04 15:22:03;20-0967;10CBBC41-CD2F-47C1-A518-0C87157B42F3;4508;US, Virgin Islands, Danish West Indies—Census, 1841–1911 \[Part A\];{color:red}{color};{color:red}{color};42;20399;976;22478;0;TEST;\\IN_PROGRESS: 19423\\NA_AUDIT: 976\\NA_BLOCKED: 2428;\\IN_PROGRESS: 1116\\NA_AUDIT: 55\\NA_BLOCKED: 92
43;2020-09-04 15:22:13;20-0967;85DFD987-EAD8-48B7-9330-B62F380002AA;4542;US, Virgin Islands, Danish West Indies—Census, 1841–1911 \[Part B\];{color:red}{color};{color:red}{color};9;3955;186;4042;0;TEST;\\IN_PROGRESS: 3769\\NA_AUDIT: 186\\NA_BLOCKED: 273;
44;2020-07-24 18:29:16;20-0981;08BD47DD-9864-4DA1-BADB-1FDA6E596C81;4430;US, Virginia, Rockingham County—Marriage Registers, 1864–1926 TEST;{color:red}{color};{color:red}{color};1;311;14;613;0;TEST;\\IN_PROGRESS: 297\\NA_AUDIT: 14\\NA_BLOCKED: 316;
45;2020-09-04 14:27:04;19-1285;D5EA5E5F-E0DE-4ED5-B9CE-2554ADEB4AB5;3609;US, Washington—County Death Registers, 1881–1922 \[Part A\];{color:red}misAssignedDGS count: 43\\imagesets not assigned count: 5\\{color};{color:red}[D5EA5E5F-E0DE-4ED5-B9CE-2554ADEB4AB5]{color};40;4747;227;6352;0;TEST;\\IN_PROGRESS: 4525\\NA_AUDIT: 227\\NA_BLOCKED: 1827;
46;2020-08-27 15:09:15;20-0761;CAF76D9B-0CD5-48AD-B895-869D1466B497;4479;US, Washington—Voting Records, 1876–1940 \[Part B\];{color:red}{color};{color:red}{color};200;5084;239;5135;0;TEST;\\IN_PROGRESS: 4845\\NA_AUDIT: 239\\NA_BLOCKED: 290;\\IN_PROGRESS: 3472\\NA_AUDIT: 173\\NA_BLOCKED: 207
47;2020-09-04 14:17:11;19-0779;9CC7FF09-F5E2-4AB7-A713-6BB8A1C5A9B5;4506;US, Wisconsin—County Naturalization Records, 1807–1992 \[Part D\] TEST;{color:red}{color};{color:red}{color};1;221;10;2126;0;TEST;\\IN_PROGRESS: 1052\\NA_AUDIT: 50\\NA_BLOCKED: 1074;
48;2020-09-04 15:23:04;20-1013;D0967206-21B8-4190-84B6-AA4B903FA61D;4503;Venezuela—Civil Registration, 1873–2004 \[Part A\];{color:red}{color};{color:red}{color};147;27451;1308;449130;0;TEST;\\IN_PROGRESS: 52232\\NA_AUDIT: 2611\\NA_BLOCKED: 11757;\\IN_PROGRESS: 18570\\NA_AUDIT: 928\\NA_BLOCKED: 8921
49;2020-09-04 15:23:16;20-1013;F1E57B00-5B22-43F6-950C-F204000830F2;4537;Venezuela—Civil Registration, 1873–2004 \[Part B\];{color:red}{color};{color:red}{color};22;1570;74;68164;0;TEST;\\IN_PROGRESS: 2739\\NA_AUDIT: 135\\NA_BLOCKED: 442;
50;2020-09-04 13:39:01;18-0878;116F114E-CB6E-438C-A795-067C50ED5171;4337;Argentina, Entre Rios—Civil Registration, 1860–1965 \[Part M\];{color:red}{color};{color:red}{color};300;7574;353;63759;0;READY_FOR_WORK;\\IN_PROGRESS: 42494\\NA_AUDIT: 2070\\NA_BLOCKED: 21265;
51;2020-09-04 14:43:07;19-1731;8B16A468-8DE2-48C8-8307-0875A09D9AB4;4407;Argentina, Salta—Civil Registration, 1880–2000 \[Part A\];{color:red}{color};{color:red}{color};222;1818;87;43389;0;READY_FOR_WORK;\\IN_PROGRESS: 6670\\NA_AUDIT: 339\\NA_BLOCKED: 2991;\\IN_PROGRESS: 665\\NA_AUDIT: 39\\NA_BLOCKED: 503
52;2020-09-04 14:43:17;19-1731;BAF99791-322D-4F14-8D9F-C43EB5CC1C4D;4449;Argentina, Salta—Civil Registration, 1880–2000 \[Part B\];{color:red}{color};{color:red}{color};154;29;1;36177;0;READY_FOR_WORK;\\IN_PROGRESS: 83\\NA_AUDIT: 3\\NA_BLOCKED: 46;
53;2020-09-04 13:37:11;18-0805;AC8EF05E-FA77-4071-9201-0232A27BDD00;3561;Australia, Victoria—Wills and Probates, 1865–1925 \[Part C\];{color:red}{color};{color:red}{color};399;13853;652;342021;0;READY_FOR_WORK;\\IN_PROGRESS: 127722\\NA_AUDIT: 6319\\NA_BLOCKED: 214299;
54;2020-09-04 12:50:27;16-1196;4EDC7A7D-B7B2-4953-845D-CF5AC5CA34AC;2587;Belgium, (Quick Batch) Antwerp—Civil Registration, 1851–1910 \[Part F\];{color:red}{color};{color:red}{color};68;38043;1807;46738;0;READY_FOR_WORK;\\IN_PROGRESS: 37074\\NA_AUDIT: 1840\\NA_BLOCKED: 9664;
55;2020-09-04 12:50:36;16-1196;3ED8B52D-DB98-41E4-BC99-4B97C246F3FB;3286;Belgium, Antwerp Province—Civil Registration, 1851–1910 \[Part I\];{color:red}{color};{color:red}{color};1;98;5;1126;0;READY_FOR_WORK;\\IN_PROGRESS: 272\\NA_AUDIT: 14\\NA_BLOCKED: 854;
56;2020-09-04 12:17:23;14-0138;21EA3EEE-5ADE-425A-AA1A-BFB31C638625;4356;Belgium, East Flanders, Herzele—Civil Registration, 1901–1910 \[Part A\];{color:red}{color};{color:red}{color};68;70;3;16080;0;READY_FOR_WORK;\\IN_PROGRESS: 200\\NA_AUDIT: 9\\NA_BLOCKED: 5;
57;2020-09-04 12:17:02;14-0024;E88F1346-DFF6-41EA-A0D7-5E4100ECA7ED;2592;België, Oost-Vlaanderen, Moerbeke-Waas—Burgerlijke Stand, 1796–1910 \[Deel D\];{color:red}{color};{color:red}{color};45;1976;94;11465;0;READY_FOR_WORK;\\IN_PROGRESS: 9276\\NA_AUDIT: 461\\NA_BLOCKED: 2189;
58;2020-09-04 12:51:20;16-1196;3514F02A-498C-4154-8F4A-9B798371B01F;2990;België, Provincie Antwerpen—Burgerlijke Stand, 1851–1910 \[Deel H\];{color:red}{color};{color:red}{color};75;36746;1753;37679;0;READY_FOR_WORK;\\IN_PROGRESS: 34993\\NA_AUDIT: 1753\\NA_BLOCKED: 2686;
59;2020-09-04 14:35:47;19-1494;69E72A1C-0F85-4940-BA65-D3C117862368;4192;Brazil, Bahia—Civil Registration, 1877–1976 \[Part C\];{color:red}{color};{color:red}{color};300;14971;711;56039;0;READY_FOR_WORK;\\IN_PROGRESS: 55446\\NA_AUDIT: 2756\\NA_BLOCKED: 593;
60;2020-09-04 14:35:58;19-1494;1C87AD2C-A12D-4A99-97C8-C93DAA7BEB2D;4241;Brazil, Bahia—Civil Registration, 1877–1976 \[Part D\];{color:red}{color};{color:red}{color};303;2130;105;55691;0;READY_FOR_WORK;\\IN_PROGRESS: 7974\\NA_AUDIT: 414\\NA_BLOCKED: 72;\\IN_PROGRESS: 4990\\NA_AUDIT: 261\\NA_BLOCKED: 41
61;2020-09-04 14:36:11;19-1494;ED1B6EA1-19AF-43BC-BA21-CBF6DB5EDA26;4306;Brazil, Bahia—Civil Registration, 1877–1976 \[Part E\];{color:red}{color};{color:red}{color};323;11903;554;65897;0;READY_FOR_WORK;\\IN_PROGRESS: 44496\\NA_AUDIT: 2170\\NA_BLOCKED: 417;\\IN_PROGRESS: 8910\\NA_AUDIT: 428\\NA_BLOCKED: 68
62;2020-09-04 14:02:58;19-0229;F736ABDC-0C5D-4999-AEEC-5D3D81AC69DD;4365;Canada, Manitoba—Church Records, 1800–1950 \[Part B\];{color:red}{color};{color:red}{color};3;2118;102;2198;0;READY_FOR_WORK;\\IN_PROGRESS: 2016\\NA_AUDIT: 102\\NA_BLOCKED: 182;
63;2020-09-04 15:15:13;20-0860;7E280DE1-AC48-4D69-8D41-33D125496EB1;4454;Canada—Immigration Ocean Arrivals, 1919–1924;{color:red}{color};{color:red}{color};309;173697;8276;1492028;0;READY_FOR_WORK;\\IN_PROGRESS: 658501\\NA_AUDIT: 32947\\NA_BLOCKED: 663709;\\IN_PROGRESS: 389800\\NA_AUDIT: 19495\\NA_BLOCKED: 390648
64;2020-09-04 13:43:02;18-1174;5B926CD3-2876-4B29-95BA-05CCBBA237A1;4117;Colombia—Catholic Church Records, 1693–2010 \[Part E\];{color:red}misAssignedDGS count: 19\\imagesets not assigned count: 19\\{color};{color:red}[5B926CD3-2876-4B29-95BA-05CCBBA237A1]{color};21;55136;2621;58312;0;READY_FOR_WORK;\\IN_PROGRESS: 52515\\NA_AUDIT: 2621\\NA_BLOCKED: 5797;
65;2020-09-04 14:15:55;19-0750;E9DFF07D-F7FF-41D4-9399-6F23F96E24DD;4398;Congo—1984 Census \[Part B\];{color:red}{color};{color:red}{color};200;19657;937;494328;0;READY_FOR_WORK;\\IN_PROGRESS: 37431\\NA_AUDIT: 1873\\NA_BLOCKED: 1126;
66;2020-09-04 14:42:47;19-1672;56094E6E-0D6D-46BE-94AE-EFE0B31B1909;4448;Costa Rica—Civil Registration, 1932–2018 \[Part D\];{color:red}{color};{color:red}{color};163;42690;2034;82608;0;READY_FOR_WORK;\\IN_PROGRESS: 81299\\NA_AUDIT: 4068\\NA_BLOCKED: 1309;\\IN_PROGRESS: 1000\\NA_AUDIT: 50\\NA_BLOCKED: 11
67;2020-09-04 11:57:17;10-0631;2953EBDE-5253-4EE5-BCD6-C8734CAADB33;3884;Croatia, Delnice Deanery—Church Books, 1571–1926 \[Part D\];{color:red}misAssignedDGS count: 9\\{color};{color:red}[2953EBDE-5253-4EE5-BCD6-C8734CAADB33]{color};10;6495;309;6556;0;READY_FOR_WORK;\\IN_PROGRESS: 6186\\NA_AUDIT: 309\\NA_BLOCKED: 370;
68;2020-09-04 12:03:04;11-1473;228C453A-FC07-4310-9CC6-0872F3EF0422;4310;Czech Republic (Tschechien), Litoměřice—Civil Registration, 1552–1905 \[Part 1E\];{color:red}misAssignedDGS count: 35\\{color};{color:red}[228C453A-FC07-4310-9CC6-0872F3EF0422]{color};35;288;13;7221;0;READY_FOR_WORK;\\IN_PROGRESS: 275\\NA_AUDIT: 13\\NA_BLOCKED: 2;
69;2020-09-04 15:02:40;20-0635;E0A125B1-2EAB-4311-9A79-C8FF87A2AB9F;4300;Denmark, Aarhus—1918 Census;{color:red}{color};{color:red}{color};100;5349;251;16016;0;READY_FOR_WORK;\\IN_PROGRESS: 5098\\NA_AUDIT: 251\\NA_BLOCKED: 10918;
70;2020-09-04 12:12:42;13-1013;52FE2F42-8E3C-4FB8-A50B-40220E384CF1;3712;Deutschland, Hesse, Frankfurt—Standesamtliche Eintragung von Ehen, 1900–1927;{color:red}{color};{color:red}{color};52;9395;446;9075;0;READY_FOR_WORK;\\IN_PROGRESS: 8949\\NA_AUDIT: 446\\NA_BLOCKED: 126;
71;2020-09-04 12:25:10;15-0399;004ABAC9-6583-42CF-9419-C0153E437B66;3823;Deutschland, Westfalen, Minden—Volkszählungen 1880–1900 \[Teil 5\];{color:red}{color};{color:red}{color};1;490;23;739;0;READY_FOR_WORK;\\IN_PROGRESS: 467\\NA_AUDIT: 23\\NA_BLOCKED: 272;
72;2020-09-04 12:34:54;16-0019;A0C2B61C-368F-4A6C-A421-B85F90635A4E;4227;Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part E\];{color:red}misAssignedDGS count: 2\\imagesets not assigned count: 2\\{color};{color:red}[A0C2B61C-368F-4A6C-A421-B85F90635A4E]{color};36;1364;64;98703;0;READY_FOR_WORK;\\IN_PROGRESS: 3900\\NA_AUDIT: 192\\NA_BLOCKED: 1883;
73;2020-09-04 15:09:59;20-0806;B59E421A-0F65-44D1-9FD0-7E6297829700;4447;Ecuador, Guayaquil—Cemetery Records, 1862–2019 \[Part D\];{color:red}batch count: 10102!=10122\\audit batch count: 491!=502\\{color};{color:red}[B59E421A-0F65-44D1-9FD0-7E6297829700]{color};330;10624;502;153643;0;READY_FOR_WORK;\\IN_PROGRESS: 40310\\NA_AUDIT: 2003\\NA_BLOCKED: 3163;\\IN_PROGRESS: 16257\\NA_AUDIT: 803\\NA_BLOCKED: 2504
74;2020-09-04 12:25:54;15-0523;8113F9CC-858D-4E72-9148-4CBABD2FED24;4320;France, Haute-Garonne, Toulouse—Church Records 1539–1793 \[Part B\];{color:red}{color};{color:red}{color};270;158;8;26339;0;READY_FOR_WORK;\\IN_PROGRESS: 150\\NA_AUDIT: 8\\NA_BLOCKED: 4;
75;2020-09-04 13:36:37;18-0705;14A9D7AB-9409-45DB-8D78-CE922F843E5C;3791;France, Rhône—Première Guerre mondiale, Enregistrements du recrutement, 1865–1932 \[Partie E\];{color:red}misAssignedDGS count: 1\\imagesets not assigned count: 1\\{color};{color:red}[14A9D7AB-9409-45DB-8D78-CE922F843E5C]{color};94;4381;210;49335;0;READY_FOR_WORK;\\IN_PROGRESS: 41216\\NA_AUDIT: 2070\\NA_BLOCKED: 8119;
